Episode,P5.0_Done,P5.0_Flow,P5.0_MK,P5.0_GA,P10.0_Done,P10.0_Flow,P10.0_MK,P10.0_GA,P20.0_Done,P20.0_Flow,P20.0_MK,P20.0_GA,P50.0_Done,P50.0_Flow,P50.0_MK,P50.0_GA
32,33,202.23072285565465,520.7120624542237,495.88363552093506,32,207.86015436977146,520.5914653301239,503.9476943016052,34,196.78999716842878,528.9443873,489.7981472015381,31,202.5652922787205,504.12225852012637,381.22542452812195
33,30,198.34081788126625,484.5575085067749,504.61545157432556,31,206.71678693033036,513.2082522296905,493.09854674339294,31,209.7028192507836,488.11635068893435,485.00503158569336,31,208.75363499087672,506.7902832,458.7261862754822
34,36,201.3781339491738,531.8209043216706,512.4398844242096,35,198.2237674304417,496.1487262916565,479.73505544662476,37,190.52496663583293,515.7062388134003,450.88969016075134,33,198.22677431713453,493.81464297294616,338.9896402359009
35,34,198.9494639595817,509.1607813072205,506.99616622924805,38,203.46514321452693,505.28416935920717,477.4241349697113,33,219.10495981187532,509.58503500938417,451.99843668937683,33,214.0401786662593,497.0266055297852,345.9633357524872
36,27,197.0063723507634,481.82081976890566,478.9662744998932,31,179.14506834614662,472.3357497787476,464.21239614486694,30,196.9919131727219,518.8315276241302,490.06830048561096,25,185.76663803787233,472.07512656211856,401.0136754512787
37,35,184.50062267357964,496.88347647666933,496.4237744808197,34,183.71667468435624,502.2138206768036,493.7705285549164,32,172.61145348757503,480.40129039764406,463.99244141578674,38,184.17484531026136,471.86333559036257,342.590656
38,33,219.3189707929438,509.5443796634674,501.1930899620056,29,202.39931555353363,472.6132001399994,488.0752499103546,28,209.13788281508855,466.92935461997985,449.09048795700073,34,210.65029940801506,492.41098136901854,425.93770146369934
39,33,220.61117664712847,507.2114027404785,504.2882845401764,33,211.79740033929997,496.6973939800262,483.5616078,35,205.9341171488081,507.21337207794187,449.3575131893158,35,203.77053449358257,518.1924038791657,397.4671947956085
40,33,202.33267027681524,524.4777443695068,503.9968285560608,34,205.5659539800532,507.95333459854123,479.7209370136261,30,182.53914920202888,488.6903088378906,444.4528865814209,28,185.22392208780562,462.86929204940793,394.8246760368347
41,32,208.7694815,503.27319281578065,491.6452612876892,31,206.67427610797264,494.9690308,468.8964295387268,35,218.93248716054646,511.6692783164978,468.76626324653625,31,202.17231328441255,496.65041177749634,347.8891234397888
42,33,192.11111220157505,538.7650880336762,523.8575572967529,34,200.74964888404398,508.0552451133728,498.63594341278076,29,192.6954062820303,507.86631054878234,469.25020384788513,28,191.11927606003624,495.1183950424194,389.3742175102234
43,34,196.22047621194054,490.58594621658324,470.30035853385925,36,195.25974301338192,490.0101214790344,454.72788524627686,34,207.8038338103014,533.6301698,461.8559253,45,202.78501029438445,499.7854701423645,215.95663475990295
44,31,221.25377997890598,537.3858765506744,519.3141534328461,33,217.49229962926927,495.03925122261046,473.63249683380127,32,229.27389897257086,524.6122385406494,488.12713289260864,31,230.51013431733654,542.6436973953247,432.63565969467163
45,37,186.97171084919492,511.40025122642515,467.6698188781738,41,191.5723121,514.6540249156952,465.2765552997589,39,198.4251232002943,493.2656937408447,392.10232377052307,50,209.5595634996414,489.2764678764343,156.0317234992981
46,30,213.00173115793862,499.16915477752684,498.24280190467834,31,224.65990521184864,496.6747635746002,493.2504894733429,32,236.77134394377472,527.8494662189484,493.85919165611267,32,217.07947497636079,497.2875851535797,385.6079742908478
47,37,168.75814882665068,494.47803305625916,459.3980026245117,34,168.22181170659906,496.60194014549256,448.6337249279022,37,187.68729095227008,492.9811160469055,406.5273928642273,39,191.28396884306883,494.8368441963196,255.95154738426208
48,28,165.63020498173577,475.5517021560669,484.16893792152405,27,177.4562482992808,496.76533354759215,467.3662872314453,30,196.3511290060679,526.0071321868896,486.4480924606323,28,205.87229040077753,538.3497437381744,422.23340129852295
49,31,195.49297480244795,516.2104157352447,506.7551772594452,31,206.35457048108503,511.9016822719574,492.31767535209656,31,183.0816576228603,484.0017691993713,446.94047474861145,35,193.66599037851609,484.74395050048827,337.1007750034332
50,34,202.20173444775972,505.26369081497194,487.3237855434418,34,187.21000370334178,457.9304393386841,464.8420331478119,33,189.83114525303696,495.4230099773407,432.95268845558167,40,197.25286586475372,476.87444053649904,307.61846017837524
51,30,199.12486404895785,471.1521181201935,490.1171649,33,219.49185655536073,501.3702022171021,474.21984362602234,35,198.1434674974169,513.4467765426635,467.30498361587524,39,197.8542025135725,468.50842395782473,332.3677222728729
52,32,227.55427208185196,523.4595166015625,524.3510413169861,34,205.78932079259084,510.37650688171385,500.9891974925995,37,208.65051123541753,507.0622778701782,466.86453008651733,38,192.66551471057693,485.78496535301207,314.8307876586914
53,36,206.32291429678602,498.4841832637787,493.10110092163086,35,183.46672590664454,485.20530982017516,466.15282249450684,36,184.14341134309768,508.0727612495422,452.7318797111511,33,183.3030454982411,495.03560490608214,372.4153652191162
54,30,218.26831840896602,538.3293200492859,510.10157084465027,31,193.29153229805726,490.1747096538544,477.7694673538208,36,208.63095349179378,545.2875760555268,474.98923325538635,32,177.9974709558487,504.0197876,404.05911564826965
55,33,189.29087814302153,522.3424095,504.5593161582947,34,182.0427357634376,517.9021574783325,478.3028476238251,30,182.71026363849643,488.56290190696717,480.59139823913574,28,180.8114903143474,444.83766763687134,388.37595224380493
56,28,176.54776833125524,465.34608318328856,492.22415947914124,30,172.14805459149682,471.86637665748594,466.06994795799255,32,177.40313374340536,486.5506026935577,442.7816824913025,32,174.4583835840225,496.04199125289915,407.9150199890137
57,34,192.43054814142337,471.8834007549286,480.10928416252136,32,191.6455025345087,482.04785926818846,471.64267659187317,33,188.24199758847556,477.83134539604185,463.8925082683563,33,194.0798440684694,510.2158172893524,342.9994390010834
58,38,209.0688593370036,521.5850071525574,507.1183338165283,37,189.61774031535998,491.12808199882505,467.2124607563019,36,186.46003639062246,512.329246,445.49996542930603,41,189.59326567463756,477.98079129219053,321.91128039360046
59,37,208.29370194280472,528.1185917,504.2700641155243,40,178.57982694125175,526.8411831474305,490.2340819835663,41,179.58679112318083,487.34302946090696,419.8198573589325,38,173.33529761264197,487.58350010871885,303.3938181400299
60,40,168.81007113456727,502.1424364948273,470.3332622051239,38,175.71725619767838,508.8854062461853,436.97346925735474,37,167.39415015529943,514.0337095165253,422.36642837524414,41,179.42077047627146,493.82678483963014,246.01749992370605
61,32,193.56001,458.8011327266693,476.9179286956787,33,210.3956803107984,522.3928933620452,492.34527564048767,31,195.63664378966052,510.45149235725404,458.0134365558624,31,204.67086861948812,485.7096534252167,360.8445680141449
62,34,203.31987346761366,528.2295680522918,503.5075008869171,35,189.8951403626033,526.1162873,480.6018924713135,34,207.2428306492637,505.1105835914612,460.01974415779114,38,181.71803820484564,475.03499989509584,283.3081169128418
63,36,207.27371922545964,527.1844051456451,520.8150539398193,34,197.88182539098403,511.47741943359375,506.93741846084595,33,176.00436425064552,494.2085083,464.91791462898254,38,190.78976572990416,531.6503213024139,420.3145971298218
64,28,193.4568863,485.12578874588013,499.8214225769043,32,195.2921333193779,501.2965686893463,495.74333214759827,29,197.4390664929357,477.65530806541443,449.87455701828003,31,189.82092860252627,496.3745773410797,406.8533423
65,30,167.3838438774745,461.8516820144653,486.94970965385437,30,185.74679905287425,488.33933193206786,496.00475096702576,31,196.17953954142914,519.6752832603455,476.9552068710327,39,205.3494662522047,491.3290947151184,339.2532410621643
66,33,205.4697354256023,519.8871681499481,523.8442764282227,35,226.2965838481358,528.6887397575379,508.05125737190247,33,224.88211230162418,498.6037099170685,461.8832621574402,33,211.70267243674306,491.27944610595705,323.64607405662537
67,35,207.20308262688772,504.6917937755585,495.2341341972351,38,219.4798347819479,507.93337712287905,473.20625734329224,35,237.30128565842762,524.8052443027497,459.29487204551697,35,212.34695002910073,497.3905664,290.66536045074463
68,35,213.15831903648373,493.29803189277646,484.0641083717346,34,190.38907069767225,483.4947200679779,463.56174540519714,38,223.14321041257756,518.4662989,461.3109872341156,35,207.27022051157275,474.2864201927185,328.82164311408997
69,34,209.63693700257468,521.5079073238372,511.70513677597046,37,211.2237723329905,520.9807714748382,493.7862436771393,34,197.6062598,471.86923139572144,435.8339672088623,34,206.62488009368667,468.0335475730896,328.28862953186035
70,31,193.33746181611093,525.2512710380554,499.9745740890503,29,175.0505137265962,458.30165102958676,461.77234530448914,29,184.83039793639347,523.4892697620392,482.04956698417664,31,191.8118455988361,509.7438702869415,401.9333837032318
71,34,203.84143472503214,512.9288207435608,495.0180823802948,35,200.8552801587241,507.7740968608856,495.38911485671997,36,173.90077009757363,489.65778745651244,436.15428948402405,39,201.68214021242585,478.18441475868224,336.34009766578674
72,31,211.93984474489767,493.1537648200989,481.0774407,34,206.98431699949154,503.2940679550171,512.5076577663422,34,212.24358785657319,521.1695407390595,470.1919083595276,40,204.65810388946534,494.4640184402466,292.6140184402466
73,33,208.2703270334186,498.3064770126343,487.73247814178467,36,207.99925470696556,500.2943782234192,486.0403821468353,32,226.85874549001454,508.71614855766296,471.6548900604248,30,201.17266135629018,472.56243580818176,361.27325534820557
74,28,193.5693883367947,468.62926445007326,474.5615360736847,33,217.29759340604144,496.7980996131897,501.95409321784973,33,209.06841691710733,529.1053539276123,486.3527932167053,31,188.5524684838326,478.91339168548586,376.4692084789276
75,32,195.12004215419296,490.0304976081848,510.12497663497925,32,202.21892772763968,508.3591669178009,467.41718769073486,28,193.0014058627401,501.0320661640167,450.1603682041168,32,214.4267301672697,511.1699228858948,395.7048146724701
76,29,199.35363648118644,482.6283852100372,502.0106358528137,29,204.12593109525483,482.0385769844055,477.3861515522003,27,198.3374974960751,475.6067320346832,489.13370180130005,27,216.8051733,498.91696467399595,442.4191553592682
77,37,198.3734476197733,512.7194992733001,508.05165672302246,37,202.31634001706095,505.11352102279665,455.86491203308105,35,184.13116036333352,490.4541157913208,426.5374581813812,33,202.73715585304032,500.2648123931885,353.45000863075256
78,33,202.05716215162568,494.7079883003235,476.1851272583008,34,189.79096169387594,506.0172458076477,449.4077422618866,31,203.50330584464533,499.2990484619141,423.92037081718445,34,215.33136811060064,497.66520146369936,283.22991919517517
79,31,184.48133136257053,489.6907276439667,499.5744550228119,29,198.91438599685142,511.2624432373047,484.00783133506775,29,207.18519535229126,516.9250373,482.1184184551239,33,171.42433148066206,477.0938369560242,387.86644434928894
80,29,170.49650904984307,482.07587621688845,493.17476296424866,31,187.54418899043918,505.79150388717653,519.2977917194366,32,177.81295781672003,480.09815452575685,451.1804919242859,30,194.53882582918803,494.0440845298767,391.93042635917664
81,32,178.5929102113843,458.2723017883301,473.3017735481262,33,179.69425602132625,491.92484318733216,470.7938082,30,183.00156656424207,473.37639414787293,432.73665475845337,29,203.58698235248698,515.4189130020142,417.9814636707306
82,30,209.90071835962937,515.6968243885041,535.3546743392944,29,198.69269103609278,481.7032006549835,478.4131169319153,30,214.1957280165354,499.69168575286864,476.1414764,30,195.63100822448732,514.1772347259522,435.59804368019104
83,33,207.17869317228144,493.6204679584503,466.4130003452301,37,211.97927791724334,501.6603677845001,451.09115767478943,35,207.92807941382273,492.74763637542725,428.2117280960083,42,194.6381948,491.10119324684143,289.5940010547638
84,33,200.46796798619354,502.7402544593811,509.0482482910156,37,184.74213400557232,503.48344903945923,467.51408529281616,35,191.8490609337943,521.9047073,471.8304533958435,31,188.46199010756703,518.7374213314056,380.78861904144287
85,37,196.2304405,487.16656044960024,475.0276906490326,34,205.42336564568916,524.6295400047302,493.4870045185089,35,205.97734053502762,524.9825480365753,448.5972821712494,38,204.37313516943078,471.92216423988344,231.2195634841919
86,29,182.1033716468153,492.1342552947998,513.8226776123047,30,201.66521826076507,525.7023266601562,519.0578269958496,29,168.83786271424128,482.1893502521515,450.4750349521637,31,212.28320881443636,529.6351315,444.24427676200867
87,32,209.7712510287762,506.94189915657046,490.66156816482544,36,230.08010453648038,507.64158711433413,492.5581912994385,37,212.2461434936523,497.52732095718386,454.30037689208984,37,202.4134232252997,485.7824541091919,344.6789610385895
88,36,206.48521903965207,500.1448021507263,489.00628995895386,39,209.68023218277168,520.8156755542755,492.1679718494415,38,176.80615334485702,487.9004245376587,442.18101620674133,46,207.0353617129118,490.7967777824402,263.44791555404663
89,33,208.22973517389008,498.14555952072146,488.33650612831116,33,200.0879369,492.76188108444217,486.3359341621399,37,197.31339697348105,521.7119700622559,481.58820128440857,36,188.26720670647097,486.9341242027283,384.98619866371155
90,32,198.59807340055704,495.41908230781553,493.10339403152466,34,196.61036833903367,516.0182864,478.16288685798645,28,203.85205140795026,471.0692965,451.71390295028687,30,216.14921063772837,508.9674941539764,404.70384311676025
91,35,202.01307738930836,504.7717813873291,480.8478636741638,37,208.7381717362275,492.1382252597809,468.79647612571716,36,200.01063508431116,512.1300932788849,437.7652747631073,44,193.19446110768752,486.18232816696167,257.06179666519165
92,36,202.07145613802805,491.5062748432159,499.4648017883301,34,186.62942798923044,477.2870973587036,463.7735753059387,32,199.6280002552271,490.9679697990417,464.9408416748047,35,204.29795264325824,498.8999825954437,331.60394525527954
93,33,208.54875579776186,491.35187686920165,485.99268651008606,32,222.13931153446435,504.69154371261595,487.0616910457611,33,201.10029898412301,498.9633368396759,449.3937842845917,32,205.30781559199096,514.9814134979248,404.1787312030792
94,38,179.32944801983078,516.0381581497193,477.89545702934265,37,189.62221547255643,510.46575829505923,459.69306921958923,36,170.46246426502861,499.03624531745913,397.03750252723694,34,186.20824458402745,486.5581657600403,294.8310589790344
95,35,216.3003921,493.03611453056334,488.19716024398804,36,222.60481099949942,520.2677381801606,499.0776126384735,37,208.95603055361155,491.8886528778076,444.99074816703796,44,208.39439651229165,495.7468870449066,241.51597142219543
96,39,197.1395513069935,511.8520841693878,502.14584493637085,36,170.78601404640412,479.51480890274047,470.37077379226685,38,173.67302539624666,516.4912042713165,441.61124324798584,37,202.24169975512734,499.24941683769225,275.3435719013214
97,29,197.6827652,484.0234513664246,502.29038524627686,30,188.69181208928427,505.2089305305481,471.30929470062256,30,198.46178600947061,544.5259731197357,480.47920322418213,28,194.8811689727647,498.82477621078493,383.7189211845398
98,35,206.66631967517307,514.4086927509308,501.1840434074402,29,197.59856623846906,489.6597310638428,474.71906876564026,32,214.42052040606737,513.5764915084839,469.2895438671112,35,213.1570538455418,504.73999587059023,386.7314329147339
99,33,179.21649891737738,488.3612016963959,471.9397864341736,29,172.59183304128976,484.6497184562683,452.86402130126953,33,188.56750664942194,510.67730157852174,450.3699858188629,38,176.48290976649835,500.04827182769776,361.5173604488373
,,,,,,,,,,,,,,,,
avg,33.12,201.9822406,525.2305006,485.5973028,33.42,195.8033335,509.0339571,473.9712598,33,197.6062598,515.3069327,464.4618778,34.27,202.8845247,503.8420329,398.5206515
