Event_Index,Makespan,Computation_Time
0,594.00,61.9417
1,654.00,70.6602
2,636.00,66.8596
3,587.00,63.2429
4,674.00,70.4654
5,624.00,66.5038
6,651.00,69.8238
7,659.00,67.7918
8,674.00,70.4961
9,690.00,73.6213
