Event_Index,Makespan,Computation_Time
0,453.00,6.7165
1,460.00,7.5660
2,518.00,7.6487
3,467.00,7.2918
4,463.00,7.1408
5,479.00,7.7653
6,489.00,7.3895
7,460.00,7.2128
8,488.00,7.4832
9,544.00,7.2468
