Event_Index,Makespan,Computation_Time
0,600.00,86.4774
1,596.00,81.4228
2,660.00,80.4779
3,630.00,86.0864
4,637.00,85.5394
5,673.00,90.8949
6,610.00,83.1140
7,647.00,85.3951
8,640.00,83.0889
9,608.00,81.3644
