Event_Index,Makespan,Computation_Time
0,601.00,1.7781
1,847.00,1.8827
2,648.00,1.5912
3,623.00,1.5929
4,723.00,2.0756
5,665.00,1.7032
6,660.00,1.5816
7,702.00,1.7308
8,713.00,1.6752
9,695.00,1.7113
