Event_Index,Makespan,Computation_Time
0,634.00,0.9326
1,707.00,0.6898
2,706.00,0.6458
3,707.00,0.6855
4,735.00,0.7457
5,702.00,0.7724
6,747.00,0.6543
7,725.00,0.8820
8,739.00,0.7191
9,792.00,0.6983
