Event_Index,Makespan,Computation_Time
0,580.00,4.5968
1,665.00,5.2856
2,661.00,5.0458
3,633.00,4.8254
4,679.00,4.9822
5,652.00,5.0298
6,661.00,4.8291
7,645.00,4.7158
8,841.00,5.2513
9,709.00,5.2542
