Event_Index,Makespan,Computation_Time
0,704.00,0.7650
1,895.00,0.3982
2,754.00,0.5348
3,868.00,0.4873
4,854.00,0.4421
5,764.00,0.3677
6,843.00,0.4640
7,911.00,0.4311
8,899.00,0.6351
9,866.00,0.4887
