Event_Index,Makespan,Computation_Time
0,583.00,2.7105
1,765.00,3.0601
2,628.00,2.6961
3,798.00,2.8140
4,736.00,3.1390
5,672.00,3.0992
6,746.00,3.0842
7,680.00,3.1809
8,867.00,3.1212
9,692.00,3.0997
