Event_Index,Makespan,Computation_Time
0,580.00,4.8215
1,665.00,6.2257
2,661.00,5.2778
3,633.00,5.1873
4,679.00,5.5631
5,652.00,5.4108
6,661.00,5.1880
7,645.00,5.2554
8,841.00,5.6481
9,709.00,5.7330
