routing_iters,collision_iters,makespan,solve_time
1000,0,972.8,0.9155993256950751
1000,1,909.7,1.7429985633003526
1000,3,858.4,2.2847087725996973
1000,5,843.0,3.0643615974113345
1000,10,722.7,4.843672941916156
1000,15,775.7,6.8694649542914705
1000,20,685.6,8.222268000198529
1000,25,741.1,9.031531281920616
1000,30,754.4,11.649300066009165
1000,40,693.3,13.856735777750146
1000,50,662.1,18.03114533672342
1000,60,683.0,20.60950150230201
1000,70,634.0,24.352166298090015
1000,80,642.6,27.19875024490757
1000,90,615.7,31.417564748111182
1000,100,589.6,35.05568326727953
