Event_Index,Makespan,Computation_Time
0,581.00,13.3351
1,892.00,14.1582
2,718.00,13.4752
3,611.00,13.4015
4,697.00,13.8117
5,710.00,13.3859
6,637.00,13.3624
7,632.00,13.4617
8,759.00,14.0683
9,761.00,14.1041
