Event_Index,Makespan,Computation_Time
0,1093.00,91.7402
1,981.00,76.2404
2,987.00,81.2193
3,1111.00,83.1678
4,1275.00,78.4597
5,930.00,81.5761
6,1183.00,82.4520
7,930.00,74.8466
8,1151.00,77.3532
9,889.00,80.2811
